County,Location,Address,Latitude,Longitude,
Allegany,Allegany County Office Complex,"701 Kelly Road, Room 100 Cumberland, MD 21502",39.643471,-78.780197,Not verified some issues found
Anne Arundel,Anne Arundel County Board of Elections,"6740 Baymeadow Drive Glen Burnie, MD 21060",39.186644,-76.595575,
Anne Arundel,Bowie Elks Lodge 2309,"1506 Defense Highway Gambrills, MD 21054",38.992759,-76.682872,
Anne Arundel,Broadneck Library,"1275 Green Holly Drive Annapolis, MD 21409",39.036613,-76.454294,
Anne Arundel,Deale Elks Lod,"6022 Drum Point Road Deale, MD 20751",38.77914,-76.555563,
Anne Arundel,Earleigh Heights Volunteer Fire Company #12,"161 Ritchie Highway Severna Park, MD 21146",39.099031,-76.564329,
Anne Arundel,Odenton Library,"1325 Annapolis Road Odenton, MD 21113",39.08724,-76.7002,
Anne Arundel,Riviera Beach Library,"1130 Duvall Highway Pasadena, MD 21122",39.145206,-76.525437,
Anne Arundel,"Roger ""Pip"" Moyer Recreation Center","273 Hilltop Lane Annapolis, MD 21403",38.962989,-76.504717,
Anne Arundel,Severn Center,"1160 Reece Road Severn, MD 21144",39.121689,-76.710156,
Anne Arundel,South County Senior Activity Center,"27 Stepneys Lane Edgewater, MD 21037",38.930536,-76.558883,